Ann. Return,Max DD,Turnover,Fitness,Threshold,Ticker,Accuracy
0.578,0.2963,70,-0.2145,0.58,INDOFARM,0.7086
0.3408,0.1891,62,-0.2145,0.58,MEDIASSIST,0.8171
0.3096,0.1661,67,-0.215,0.58,ASALCBR,0.7701
0.2697,0.1567,60,-0.2152,0.58,ANUHPHR,0.8229
0.2262,0.1398,57,-0.2153,0.58,HINDPETRO,0.7784
0.2485,0.1553,53,-0.2153,0.58,ICRA,0.7746
0.1716,0.1274,46,-0.2154,0.56,TMB,0.8218
0.2718,0.1675,54,-0.2174,0.56,THEMISMED,0.7543
0.2143,0.1374,54,-0.2174,0.58,ARTEMISMED,0.8198
0.2244,0.1253,67,-0.2176,0.58,RTNPOWER,0.7143
0.1955,0.1286,54,-0.2177,0.58,BBTCL,0.8208
0.2428,0.1475,58,-0.218,0.56,SMARTWORKS,0.8343
0.2373,0.1407,61,-0.2184,0.54,ITI,0.7371
0.1723,0.1299,46,-0.2189,0.56,GIPCL,0.8057
0.2383,0.165,45,-0.2203,0.58,AMBER,0.8343
0.3566,0.1952,66,-0.2213,0.56,EXICOM,0.7727
0.3012,0.1647,68,-0.2214,0.58,KNRCON,0.7386
0.3539,0.1927,67,-0.2218,0.58,SWANCORP,0.733
0.3423,0.2003,57,-0.222,0.58,LANDMARK,0.7701
0.1749,0.1186,56,-0.2222,0.56,HATSUN,0.8286
0.1418,0.1365,32,-0.2238,0.58,SANGAMIND,0.7688
0.352,0.1969,64,-0.2247,0.54,BBL,0.7543
0.4947,0.265,66,-0.226,0.58,THEINVEST,0.815
0.1985,0.1583,38,-0.2267,0.58,ASIANENE,0.8229
0.1594,0.1236,49,-0.2277,0.58,UCOBANK,0.8057
0.3805,0.2213,58,-0.2279,0.58,JAIBALAJI,0.76
0.3125,0.1845,60,-0.228,0.58,KELLTONTEC,0.7429
0.3442,0.2023,59,-0.2289,0.56,ELECTCAST,0.7657
0.1077,0.0843,60,-0.2313,0.56,BIOCON,0.8125
0.2793,0.1965,42,-0.2336,0.58,RAMRAT,0.8457
0.1134,0.1219,36,-0.2338,0.58,HESTERBIO,0.8161
0.3844,0.2294,56,-0.2344,0.58,GEMAROMA,0.8229
0.3472,0.2095,57,-0.2348,0.56,SULA,0.7371
0.1768,0.1464,42,-0.2353,0.58,JINDALSAW,0.8466
0.1958,0.1231,64,-0.2355,0.58,IPL,0.7168
0.1281,0.0982,59,-0.2377,0.56,ACC,0.7414
0.1783,0.1169,64,-0.2383,0.58,USHAMART,0.8114
0.2358,0.171,46,-0.2384,0.58,OCCLLTD,0.8506
0.2125,0.154,50,-0.2384,0.58,MARINE,0.8229
0.2821,0.1952,46,-0.239,0.58,STAR,0.8295
0.0815,0.0952,46,-0.2397,0.56,JSWSTEEL,0.8693
0.3179,0.1985,56,-0.24,0.58,MANYAVAR,0.7701
0.318,0.1915,61,-0.2402,0.58,BHARATRAS,0.7069
0.1499,0.1406,38,-0.2405,0.58,SBCL,0.8276
0.2812,0.1922,48,-0.2411,0.58,DMCC,0.7816
0.3444,0.2059,61,-0.2417,0.56,HPL,0.7371
0.3206,0.1986,58,-0.2423,0.58,RIIL,0.76
0.3514,0.2213,53,-0.2427,0.52,RVNL,0.7429
0.1375,0.1416,34,-0.2428,0.56,SANSERA,0.8514
0.3061,0.1968,54,-0.2437,0.58,PUNJABCHEM,0.7861
0.3358,0.2122,54,-0.2438,0.58,STERTOOLS,0.7586
0.2574,0.1684,58,-0.2442,0.58,NIITLTD,0.75
0.2668,0.1905,46,-0.245,0.58,MAMATA,0.8125
0.5225,0.2992,59,-0.2454,0.56,TPHQ,0.7299
0.1364,0.1102,57,-0.2469,0.58,HINDUNILVR,0.7886
0.2594,0.1792,52,-0.2476,0.54,MANINFRA,0.7486
0.3573,0.236,47,-0.249,0.54,BDL,0.7829
0.1843,0.1474,49,-0.2497,0.58,BASF,0.767
0.258,0.177,53,-0.25,0.56,HONDAPOWER,0.7965
0.1506,0.1347,46,-0.2502,0.58,RBLBANK,0.8686
0.0967,0.0983,53,-0.2505,0.54,ICICIBANK,0.8068
0.143,0.1285,48,-0.2511,0.56,ABB,0.8229
0.5496,0.2984,72,-0.2517,0.58,NACLIND,0.7443
0.372,0.2201,64,-0.2521,0.52,NELCAST,0.7816
0.0401,0.1068,28,-0.2535,0.58,STYLAMIND,0.8514
0.2411,0.1669,56,-0.2536,0.58,MANAKSIA,0.7874
0.1112,0.1007,57,-0.2539,0.58,HARSHA,0.7989
0.1013,0.11,48,-0.2552,0.58,COALINDIA,0.8352
0.109,0.1056,53,-0.2554,0.58,UNITEDTEA,0.7514
0.3189,0.2018,60,-0.2562,0.54,BFUTILITIE,0.7543
0.1915,0.136,62,-0.2567,0.58,IEX,0.8182
0.262,0.1738,60,-0.2579,0.58,DREAMFOLKS,0.7356
0.1541,0.1609,32,-0.2586,0.56,BLSE,0.8239
0.1835,0.1405,56,-0.2594,0.56,DODLA,0.7688
-0.0198,0.0918,20,-0.2603,0.58,CASTROLIND,0.858
0.3089,0.1909,66,-0.2603,0.56,HIMATSEIDE,0.7216
0.1105,0.1253,42,-0.2616,0.58,GALAXYSURF,0.7746
0.2274,0.1594,60,-0.2618,0.58,APOLLOTYRE,0.8011
0.1161,0.1123,54,-0.2618,0.58,GMRAIRPORT,0.7955
0.3156,0.2327,39,-0.2625,0.58,RUSTOMJEE,0.7977
0.24,0.1675,59,-0.2627,0.58,TEXRAIL,0.767
0.1769,0.1379,57,-0.2627,0.54,HGS,0.7931
0.1329,0.1258,50,-0.2632,0.58,SOMANYCERA,0.8035
0.1728,0.1385,56,-0.2633,0.56,BEML,0.8125
0.2857,0.2056,48,-0.2635,0.56,AGI,0.7529
0.1197,0.1297,44,-0.2647,0.58,TNPETRO,0.7784
0.2162,0.1548,60,-0.2648,0.56,IGL,0.7886
0.0837,0.0979,54,-0.2655,0.58,YESBANK,0.767
0.1629,0.1448,49,-0.266,0.58,WIPRO,0.75
0.1804,0.1464,54,-0.2666,0.58,SUDARSCHEM,0.8
0.3999,0.2647,48,-0.2668,0.54,SYMPHONY,0.7257
0.2704,0.2002,48,-0.2672,0.58,ONEPOINT,0.8457
0.2693,0.199,48,-0.2673,0.58,METROBRAND,0.7803
0.2467,0.168,62,-0.2675,0.58,LXCHEM,0.7241
0.1071,0.1093,55,-0.2677,0.58,BAJFINANCE,0.7955
0.2134,0.1536,62,-0.27,0.58,JWL,0.7443
0.3213,0.211,59,-0.2703,0.58,POCL,0.7644
0.2506,0.1583,72,-0.2706,0.54,BOMDYEING,0.7727
0.1075,0.1026,61,-0.2711,0.58,COLPAL,0.7443
0.3943,0.2428,63,-0.2713,0.58,UGROCAP,0.72
0.1611,0.1462,49,-0.2722,0.58,INDIGO,0.8276
0.4496,0.2982,44,-0.2725,0.58,GREENPANEL,0.7771
0.3826,0.2276,70,-0.2725,0.52,GMBREW,0.8114
0.6053,0.3572,58,-0.2739,0.58,STALLION,0.7841
0.1486,0.1425,48,-0.275,0.58,SAHYADRI,0.8092
0.2384,0.1914,46,-0.2751,0.58,NOCIL,0.8068
0.1501,0.1112,71,-0.2752,0.58,BAYERCROP,0.7371
0.226,0.1874,44,-0.2752,0.58,SUBROS,0.7701
0.2045,0.1605,56,-0.2756,0.58,MMTC,0.7784
0.1368,0.1326,52,-0.277,0.52,WELCORP,0.8971
0.1367,0.1472,42,-0.2777,0.56,DLINKINDIA,0.8229
0.0521,0.1251,28,-0.278,0.58,GLAND,0.8114
0.1367,0.1207,61,-0.2781,0.58,HEROMOTOCO,0.8295
0.2007,0.158,57,-0.2783,0.52,EKC,0.7829
0.419,0.2827,46,-0.2786,0.58,NURECA,0.8161
0.3834,0.2655,46,-0.279,0.58,CORDSCABLE,0.8229
0.3121,0.2087,61,-0.2796,0.58,ORISSAMINE,0.76
0.2205,0.1564,66,-0.2808,0.58,MALUPAPER,0.8057
0.4264,0.2737,56,-0.2809,0.58,NDTV,0.7886
0.3534,0.2367,56,-0.281,0.58,DYNPRO,0.7414
0.0876,0.1235,43,-0.2815,0.56,SUNPHARMA,0.8239
0.2095,0.1605,60,-0.283,0.58,FLAIR,0.7943
0.0924,0.1274,42,-0.2831,0.58,RBA,0.8276
0.2039,0.1822,43,-0.2834,0.58,KRISHANA,0.7886
0.1094,0.1337,44,-0.2838,0.58,MANORAMA,0.7886
0.2146,0.1745,52,-0.2838,0.58,SHARDAMOTR,0.7644
0.1231,0.1362,48,-0.2856,0.54,SHILPAMED,0.8409
0.2377,0.1988,44,-0.2857,0.58,ICEMAKE,0.8171
